host_id,host_name,host_is_superhost,host_neighbourhood,host_since
6652149,Mike,False,Manly,2013-05-30
3443986,Jacqui,False,Bondi Beach,2012-09-01
6689993,Hometime,False,Haymarket,2013-06-01
283498077,Dom,False,,2019-08-06
2804801,Alison,False,Balmain,2012-07-02
2804801,Alison,True,Balmain,2012-07-02
6712285,Jen,False,Balmain,2013-06-03
6764931,Rudi & Avalon,False,Palm Beach,2013-06-06
6764931,Rudi & Avalon,True,Palm Beach,2013-06-06
6779186,Heather,True,Waterloo,2013-06-06
5479698,Lloyd & Clare,True,Waterloo,2013-03-15
5479698,Clare,True,Waterloo,2013-03-15
4424088,Sophie,True,Potts Point,2012-12-17
6830650,Tom,True,Pyrmont,2013-06-10
6830650,Tom,False,Pyrmont,2013-06-10
2451213,Tony,False,Darlinghurst,2012-05-23
6865238,Nick & Ivana,True,Bondi,2013-06-11
6889080,Sergio,False,Alexandria,2013-06-13
6903109,Yoko,False,Woolloomooloo,2013-06-13
6916852,Louise,False,Seaforth,2013-06-14
6932168,Camilla,False,North Bondi,2013-06-15
6935712,James,False,North Bondi,2013-06-16
6949862,David,True,Avalon Beach,2013-06-16
6829065,Phil,False,,2013-06-10
6902229,Mark,False,Potts Point,2013-06-13
7028222,Kylie,True,Potts Point,2013-06-20
5465846,Gregory,False,,2013-03-14
4062213,Nick,False,Surry Hills,2012-11-05
7077920,Danielle,False,,2013-06-23
7099166,Alexis,False,North Bondi,2013-06-24
6750067,Mags,False,Mosman,2013-06-05
6435318,Uldis,False,,2013-05-17
6435318,Drew,False,,2013-05-17
1038573,Tais,False,Potts Point,2011-08-30
3825886,Ian,False,Bondi Junction,2012-10-10
7101594,Ann,False,,2013-06-25
7101594,Ann,True,,2013-06-25
