index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
73,Apartment,Hotel room,8,2020-05,100.0,190.0,190.0,190.0,190.0,1.0,0.0,85.0,1.0,0.0,9.0,1710.0,,
74,Apartment,Hotel room,8,2020-06,100.0,190.0,190.0,190.0,190.0,1.0,0.0,85.0,1.0,0.0,30.0,5700.0,0.0,
75,Apartment,Private room,1,2020-05,100.0,0.0,4000.0,60.0,76.37911781127862,1671.0,5.9245960502693,93.45850622406638,1791.0,0.0,36837.0,1381.1183696259072,,
76,Apartment,Private room,1,2020-06,100.0,0.0,4000.0,60.0,76.77985285795133,1651.0,5.754088431253786,92.97905759162303,1767.0,0.0,36396.0,1385.1986417657047,-1.340033500837523,
77,Apartment,Private room,1,2020-07,100.0,0.0,4000.0,60.0,75.20580474934037,1423.0,6.184118060435699,93.46125,1516.0,0.0,30198.0,1328.1978891820581,-14.204867006225241,
78,Apartment,Private room,2,2020-05,100.0,5.0,2500.0,75.0,90.08542501581945,4367.0,8.495534692008244,93.27422680412371,4742.0,0.0,105199.0,1908.4173344580345,,
79,Apartment,Private room,2,2020-06,100.0,4.0,2500.0,74.0,89.65202702702703,4358.0,8.375401560348784,93.21381692573402,4737.0,0.0,104346.0,1873.1636056575892,-0.1054407423028203,
80,Apartment,Private room,2,2020-07,100.0,4.0,2500.0,75.0,91.10067788099423,3705.0,8.609986504723347,93.28936521022258,3984.0,0.0,86019.0,1844.7231425702812,-15.896136795440153,
81,Apartment,Private room,3,2020-05,100.0,0.0,419.0,75.0,93.49382716049382,152.0,9.210526315789473,91.75675675675676,163.0,0.0,3063.0,1694.9754601226994,,
82,Apartment,Private room,3,2020-06,100.0,0.0,420.0,74.0,93.57142857142857,151.0,8.609271523178808,92.35185185185185,162.0,0.0,3082.0,1707.111111111111,-0.6134969325153339,
83,Apartment,Private room,3,2020-07,100.0,0.0,420.0,72.0,90.02777777777777,135.0,8.88888888888889,92.81818181818181,145.0,0.0,2576.0,1554.6137931034482,-10.49382716049383,
84,Apartment,Private room,4,2020-05,100.0,38.0,2001.0,119.0,171.3106796116505,100.0,8.0,94.0701754385965,103.0,0.0,2272.0,3743.5825242718447,,
85,Apartment,Private room,4,2020-06,100.0,39.0,1999.0,120.0,170.61165048543688,100.0,8.0,94.29310344827586,103.0,0.0,2200.0,3605.9514563106795,0.0,
86,Apartment,Private room,4,2020-07,100.0,37.0,2000.0,121.0,172.89247311827958,91.0,8.791208791208792,93.13461538461539,93.0,0.0,1856.0,3426.1290322580644,-9.708737864077666,
87,Apartment,Private room,5,2020-05,100.0,60.0,2001.0,109.5,304.0833333333333,12.0,16.666666666666664,90.16666666666667,12.0,0.0,218.0,2564.5,,
88,Apartment,Private room,5,2020-06,100.0,60.0,1999.0,110.0,291.84615384615387,13.0,15.384615384615385,90.42857142857143,13.0,0.0,234.0,2474.153846153846,8.333333333333325,
